text,label
"  The coupling of laser light to matter can exert sub-cycle coherent control over material properties, with optically induced currents and magnetism shown to be controllable on ultrafast femtosecond time scales. Here, by employing laser light consisting of both linear and circular pulses, we show that charge of specified spin and crystal momentum can be created with precision throughout the first Brillouin zone. Our hybrid pulses induce in a controlled way both adiabatic intraband motion as well as vertical interband excitation between valence and conduction bands, and require only a gapped spin split valley structure for their implementation. This scenario is commonly found in the 2d semi-conductors, and we demonstrate our approach with monolayer WSe$_2$. We thus establish a route from laser light to local control over excitations in reciprocal space, opening the way to the preparation of momenta specified excited states at ultrafast time scales. ",physics
"  5G millimeter wave (mmWave) signals can be used to jointly localize the receiver and map the propagation environment in vehicular networks, which is a typical simultaneous localization and mapping (SLAM) problem. Mapping the environment is challenging, due to measurements comprising both specular and diffuse multipath components, and diffuse multipath is usually considered as a perturbation. We here propose a novel method to utilize all available multipath signals from each landmark for mapping and incorporate this into a Poisson multi-Bernoulli mixture for the 5G SLAM problem. Simulation results demonstrate the efficacy of the proposed scheme. ",electrical engineering and systems science
"  We developed an experiment to study different aspects of granular matter under microgravity. The 1.5U small experiment was carried out on the International Space Station. About 3500 almost identical spherical glass particles with 856 um diameter were placed in a container of 50*50 mm cross section. Adjusting the height between 5 and 50 mm, the filling factor can be varied. The sample was vibrated under different frequencies and amplitudes. The majority of the data are video images of the particles motion. Here, we first give an overview of the general setup and a first qualitative account of different phenomena observed in about 700 experimental runs. These phenomena include collisional cooling, collective motion via gas-cluster coupling, and the influence of electrostatic forces on particle-particle interactions. ",astrophysics
"  We consider the most general set of integrable deformations extending the $T\bar{T}$ deformation of two-dimensional relativistic QFTs. They are CDD deformations of the theory's factorised S-matrix related to the higher-spin conserved charges. Using a mirror version of the generalised Gibbs ensemble, we write down the finite-volume expectation value of the higher-spin charges, and derive a generalised flow equation that every charge must obey under a generalised $T\bar{T}$ deformation. This also reproduces the known flow equations on the nose. ",high energy physics theory
"  X-ray photometry and optical spectra are presented covering the periastron passage of the highly-eccentric, ~50 year binary system PSR J2032+4127 in November 2017. This system consists of a 143 ms pulsar in orbit around a massive OB star, MT 91-213. The data show dramatic changes during the encounter as the pulsar wind collided with the stellar wind. The X-ray flux rose on the approach to periastron, then underwent a major dip in the few days around periastron, and then gradually declined over the next few weeks. The optical spectroscopy revealed a steady decline in the H? line strength on the approach to periastron (from an Equivalent Width of -15A to -7A) implying a truncation of the OB star's circumstellar disk by the approaching neutron star. Smooth Particle Hydrodynamic (SPH) modelling is used here to model the system within the context of the observed behaviour and predict the geometrical configuration of the circumstellar disk with respect to the pulsar's orbit. ",astrophysics
"  In this paper, we develop the theory of flag manifold over a semifield for any Kac-Moody root datum. We show that the flag manifold over a semifield admits a natural action of the monoid over that semifield associated with the Kac-Moody datum and admits a cellular decomposition. This extends the previous work of Lusztig, Postnikov, Rietsch and others on the totally nonnegative flag manifolds (of finite type) and the work of Lusztig, Speyer, Williams on the tropical flag manifolds (of finite type). As a by-product, we prove a conjecture of Lusztig on the duality of totally nonnegative flag manifold of finite type. ",mathematics
"  The North Polar Spur (NPS) is one of the largest structures observed in the Milky Way in both the radio and soft x-rays. While several predictions have been made regarding the origin of the NPS, modelling the structure is difficult without precise distance constraints. In this paper, we determine accurate distances to the southern terminus of the NPS and toward latitudes ranging up to 55$^{\circ}$. First, we fit for the distance and extinction to stars toward the NPS using optical and near-infrared photometry and Gaia DR2 astrometry. We model these per-star distance-extinction estimates as being caused by dust screens at unknown distances, which we fit for using a nested sampling algorithm. We then compare the extinction to the Spur derived from our 3D dust modelling with integrated independent measures from XMM-Newton X-ray absorption and HI column density measures. We find that we can account for nearly 100% of the total column density of the NPS as lying within 140 pc for latitudes $>26^{\circ}$ and within 700 pc for latitudes $< 11^{\circ}$. Based on the results, we conclude that the NPS is not associated with the Galactic Centre or the Fermi bubbles. Instead, it is likely associated, especially at higher latitudes, with the Sco-Cen association. ",astrophysics
"  Nearly all thermal radiation phenomena involving materials with linear response can be accurately described via semi-classical theories of light. Here, we go beyond these traditional paradigms to study a nonlinear system which, as we show, necessarily requires quantum theory of damping. Specifically, we analyze thermal radiation from a resonant system containing a $\chi^{(2)}$ nonlinear medium and supporting resonances at frequencies $\omega_1$ and $\omega_2\approx 2\omega_1$, where both resonators are driven only by intrinsic thermal fluctuations. Within our quantum formalism, we reveal new possibilities for shaping the thermal radiation. We show that the resonantly enhanced nonlinear interaction allows frequency-selective enhancement of thermal emission through upconversion, surpassing the well-known blackbody limits associated with linear media. Surprisingly, we also find that the emitted thermal light exhibits non-trivial statistics ($g^{(2)}(0) \neq 2$) and biphoton intensity correlations (at two distinct frequencies). We highlight that these features can be observed in the near future by heating a properly designed nonlinear system, without the need for any external signal. Our work motivates new interdisciplinary inquiries combining the fields of nonlinear photonics, quantum optics and thermal science. ",physics
"  Metasurfaces have attracted significant research interest owing to their unprecedented control over the spatial distributions of electromagnetic fields. Herein we propose the concept of metasurface tessellation to achieve reconfigurable scattering functions. Square meta-tiles, composed of identical structures, are arranged to fill a surface. The electromagnetic scattering of the tiled surface is determined by the orientation distribution of the meta-tiles. We present three typical cases of meta-tiles consisting of binary elements to realize several distinct scattering patterns. This study provides an alternative method to build reconfigurable and multi-functional metasurface devices without external stimuli and complicated fabrication. ",physics
"  In this work an iterative solution to build a network lifetime-preserving sampling strategy for WSNs is presented. The paper describes the necessary steps to reconstruct a graph from application data. Once the graph structure is obtained, a sampling strategy aimed at finding the smallest number of concurrent sensors needed to reconstruct the data in the unsampled nodes within a specific error bound, is presented. An iterative method then divides the sensor nodes into sets to be sampled sequentially to increase lifetime. Results on a real-life dataset show that the reconstruction RMSE can be easily traded off for a larger number of disjoint sampling sets which improve the network lifetime linearly. ",electrical engineering and systems science
